dataset,alpha,target_coverage,n_total,n_accepted,accept_rate,reject_rate,accepted_accuracy,always_accept_accuracy,accuracy_gain
blood,0.2,0.8,150,131,0.8733333333333333,0.1266666666666667,0.7633587786259542,0.74,0.023358778625954257
blood,0.15,0.85,150,112,0.7466666666666667,0.2533333333333333,0.7857142857142857,0.74,0.04571428571428571
blood,0.1,0.9,150,98,0.6533333333333333,0.3466666666666667,0.7959183673469388,0.74,0.05591836734693878
blood,0.05,0.95,150,52,0.3466666666666667,0.6533333333333333,0.8846153846153846,0.74,0.1446153846153846
blood,0.01,0.99,150,0,0.0,1.0,0.0,0.74,-0.74
wdbc,0.2,0.8,114,78,0.6842105263157895,0.3157894736842105,1.0,0.9824561403508771,0.01754385964912286
wdbc,0.15,0.85,114,86,0.7543859649122807,0.24561403508771928,0.9883720930232558,0.9824561403508771,0.005915952672378655
wdbc,0.1,0.9,114,104,0.9122807017543859,0.08771929824561409,0.9903846153846154,0.9824561403508771,0.00792847503373828
wdbc,0.05,0.95,114,114,1.0,0.0,0.9824561403508771,0.9824561403508771,0.0
wdbc,0.01,0.99,114,100,0.8771929824561403,0.1228070175438597,0.99,0.9824561403508771,0.007543859649122853
eeg,0.2,0.8,2996,2474,0.8257676902536716,0.17423230974632842,0.9713015359741309,0.9202269692923899,0.05107456668174104
eeg,0.15,0.85,2996,2636,0.8798397863818425,0.12016021361815754,0.9620637329286799,0.9202269692923899,0.041836763636289964
eeg,0.1,0.9,2996,2862,0.9552736982643525,0.04472630173564751,0.9381551362683438,0.9202269692923899,0.017928166975953896
eeg,0.05,0.95,2996,2786,0.9299065420560748,0.07009345794392519,0.947954055994257,0.9202269692923899,0.027727086701867076
eeg,0.01,0.99,2996,1891,0.6311748998664887,0.36882510013351133,0.9904812268640931,0.9202269692923899,0.07025425757170323
