cp_method,target_coverage,empirical_coverage,avg_set_size,class_cond_gap
APS,0.8,0.9986666666666667,1.9158548708219145,0.005714285714285716
APS,0.85,0.9986666666666667,1.9345866691651246,0.005714285714285716
APS,0.9,0.9986666666666667,1.9594806798928786,0.005714285714285716
APS,0.95,0.9986666666666667,1.9675378165038766,0.005714285714285716
APS,0.99,0.9986666666666667,1.9675378165038766,0.005714285714285716
ClassConditional,0.8,0.8021155224509873,1.027460739075102,0.07987382687456378
ClassConditional,0.85,0.8624090600332608,1.1391176071018667,0.06326487096107582
ClassConditional,0.9,0.9120958470943715,1.2508546912452472,0.05429805963980614
ClassConditional,0.95,0.9640744384325299,1.4006610763669298,0.022142004226565745
ClassConditional,0.99,0.9884802348550503,1.5035992161088079,0.02137498879024303
Mondrian,0.8,0.8021155224509873,1.027460739075102,0.07987382687456378
Mondrian,0.85,0.8624090600332608,1.1391176071018667,0.06326487096107582
Mondrian,0.9,0.9120958470943715,1.2508546912452472,0.05429805963980614
Mondrian,0.95,0.9640744384325299,1.4006610763669298,0.022142004226565745
Mondrian,0.99,0.9884802348550503,1.5035992161088079,0.02137498879024303
Standard,0.8,0.7701936304936796,0.917079287002553,0.3004070969458773
Standard,0.85,0.8285462409918878,1.0045934774631282,0.2836729109886811
Standard,0.9,0.9001710819103834,1.1229811288345473,0.2045660361909441
Standard,0.95,0.957914365352634,1.2879632414369258,0.10313083151052936
Standard,0.99,0.9913100976740917,1.5235428602659298,0.023000403551251023
